timestamp,transaction_id,client_id,dish_category,dish_name,price,cost,quantity,profit,promo_applied,predicted_profit_margin
2026-01-28 14:01:06.820031,T10000,C-2679,tea,Зеленый чай,135,40.5,1,94.5,1,0.7
2026-01-28 08:05:06.820031,T10001,C-4257,bakery,Булочка с корицей,109,32.7,1,76.3,1,0.7
2026-01-28 12:17:06.820031,T10002,C-7924,snack,Кесадилья,181,68.78,1,112.22,1,0.62
2026-01-28 11:48:06.820031,T10003,C-6635,dessert,Эклер,226,79.1,1,146.9,1,0.65
2026-01-28 09:29:06.820031,T10004,C-5803,beverage,Какао,135,44.55,3,271.35,0,0.67
2026-01-28 12:12:06.820031,T10005,C-5741,tea,Зеленый чай,108,32.4,1,75.6,0,0.7
2026-01-28 17:24:06.820031,T10006,C-7065,dessert,Брауни,316,110.6,1,205.4,1,0.65
2026-01-28 11:59:06.820031,T10007,C-9751,tea,Чай с мятой,182,54.6,1,127.4,1,0.7000000000000001
2026-01-28 12:59:06.820031,T10008,C-1916,tea,Чай с мятой,188,56.4,1,131.6,0,0.7
2026-01-28 17:25:06.820031,T10009,,dessert,Панна котта,216,75.6,1,140.4,1,0.65
2026-01-28 14:25:06.820031,T10010,C-9830,tea,Черный чай,158,47.4,1,110.6,0,0.7
2026-01-28 12:37:06.820031,T10011,,sandwich,Сэндвич с лососем,342,136.8,1,205.2,1,0.6
2026-01-28 09:07:06.820031,T10012,C-2040,bakery,Бейгл,160,48.0,1,112.0,1,0.7
2026-01-28 19:33:06.820031,T10013,C-2876,dessert,Панна котта,341,119.35,2,443.3,0,0.65
2026-01-28 16:49:06.820031,T10014,C-8433,tea,Зеленый чай,143,42.9,1,100.1,0,0.7
2026-01-28 17:16:06.820031,T10015,,beverage,Айс-кофе,217,71.61,1,145.39,0,0.6699999999999999
2026-01-28 13:12:06.820031,T10016,C-9689,bakery,Круассан,127,38.1,1,88.9,1,0.7000000000000001
2026-01-28 13:07:06.820031,T10017,C-2290,dessert,Тирамису,278,97.3,1,180.7,0,0.6499999999999999
2026-01-28 17:48:06.820031,T10018,C-3705,beverage,Айс-кофе,218,71.94,1,146.06,1,0.67
2026-01-28 14:13:06.820031,T10019,C-6107,beverage,Мохито безалкогольный,216,71.28,1,144.72,0,0.67
2026-01-28 14:28:06.820031,T10020,C-6539,beverage,Лимонад,177,58.41,1,118.59,1,0.67
2026-01-28 11:14:06.820031,T10021,C-2104,coffee,Капучино,199,59.7,1,139.3,0,0.7000000000000001
2026-01-28 09:15:06.820031,T10022,C-8744,dessert,Чизкейк,371,129.85,1,241.15,0,0.65
2026-01-28 17:12:06.820031,T10023,C-7735,coffee,Эспрессо,205,61.5,1,143.5,0,0.7
2026-01-28 09:41:06.820031,T10024,,tea,Зеленый чай,112,33.6,1,78.4,1,0.7000000000000001
2026-01-28 10:28:06.820031,T10025,C-2235,bakery,Бейгл,134,40.2,1,93.8,0,0.7
2026-01-28 17:06:06.820031,T10026,,coffee,Капучино,347,104.1,3,728.7,0,0.7000000000000001
2026-01-28 17:10:06.820031,T10027,,sandwich,Куриный сэндвич,374,149.6,1,224.4,1,0.6
2026-01-28 08:24:06.820031,T10028,C-8973,dessert,Чизкейк,400,140.0,1,260.0,1,0.65
2026-01-28 11:03:06.820031,T10029,,beverage,Лимонад,214,70.62,1,143.38,1,0.6699999999999999
2026-01-28 13:58:06.820031,T10030,,snack,Салат Цезарь,315,119.7,1,195.3,0,0.62
2026-01-28 09:04:06.820031,T10031,,tea,Чай с мятой,130,39.0,1,91.0,1,0.7
2026-01-28 09:05:06.820031,T10032,C-5272,sandwich,Клаб-сэндвич,418,167.2,1,250.8,0,0.6
2026-01-28 11:16:06.820031,T10033,C-6180,sandwich,Куриный сэндвич,283,113.2,1,169.8,1,0.6000000000000001
2026-01-28 14:36:06.820031,T10034,C-3170,coffee,Американо,199,59.7,1,139.3,0,0.7000000000000001
2026-01-28 17:23:06.820031,T10035,C-5956,dessert,Эклер,240,84.0,1,156.0,0,0.65
2026-01-28 17:33:06.820031,T10036,C-2697,coffee,Латте,351,105.3,2,491.4,1,0.7
2026-01-28 18:47:06.820031,T10037,C-6617,beverage,Смузи,139,45.87,1,93.13,0,0.6699999999999999
2026-01-28 17:32:06.820031,T10038,,sandwich,Куриный сэндвич,314,125.6,2,376.8,0,0.6
2026-01-28 17:02:06.820031,T10039,C-5291,coffee,Латте,266,79.8,1,186.2,0,0.7
2026-01-28 13:27:06.820031,T10040,,beverage,Смузи,121,39.93,1,81.07,1,0.6699999999999999
2026-01-28 17:37:06.820031,T10041,C-6974,beverage,Лимонад,138,45.54,1,92.46000000000001,0,0.67
2026-01-28 11:15:06.820031,T10042,C-7658,tea,Чай с мятой,113,33.9,1,79.1,0,0.7
2026-01-28 11:10:06.820031,T10043,C-6442,snack,Салат Греческий,225,85.5,2,279.0,0,0.62
2026-01-28 17:51:06.820031,T10044,,bakery,Бейгл,114,34.2,1,79.8,0,0.7
2026-01-28 17:14:06.820031,T10045,,bakery,Маффин,138,41.4,1,96.6,1,0.7
2026-01-28 14:25:06.820031,T10046,,dessert,Брауни,271,94.85,2,352.3,1,0.65
2026-01-28 13:43:06.820031,T10047,C-5279,snack,Суп-пюре,317,120.46,1,196.54000000000002,1,0.6200000000000001
2026-01-28 19:02:06.820031,T10048,,coffee,Американо,333,99.9,1,233.1,1,0.7
2026-01-28 19:07:06.820031,T10049,C-8144,sandwich,Куриный сэндвич,397,158.8,1,238.2,1,0.6
2026-01-29 17:43:06.820031,T10050,C-8066,tea,Зеленый чай,194,58.2,1,135.8,0,0.7000000000000001
2026-01-29 18:39:06.820031,T10051,,dessert,Брауни,369,129.15,2,479.7,1,0.65
2026-01-29 15:20:06.820031,T10052,C-7888,sandwich,Сэндвич с лососем,428,171.2,1,256.8,0,0.6
2026-01-29 18:39:06.820031,T10053,,beverage,Айс-кофе,158,52.14,1,105.86,1,0.67
2026-01-29 12:37:06.820031,T10054,C-4501,beverage,Какао,203,66.99,1,136.01,1,0.6699999999999999
2026-01-29 18:50:06.820031,T10055,C-6491,tea,Зеленый чай,121,36.3,1,84.7,0,0.7000000000000001
2026-01-29 16:43:06.820031,T10056,C-1757,dessert,Чизкейк,257,89.95,2,334.1,0,0.65
2026-01-29 14:49:06.820031,T10057,C-4185,coffee,Флэт Уайт,297,89.1,1,207.9,0,0.7000000000000001
2026-01-29 13:15:06.820031,T10058,,bakery,Круассан,163,48.9,1,114.1,0,0.7
2026-01-29 11:51:06.820031,T10059,C-2988,tea,Фруктовый чай,166,49.8,1,116.2,1,0.7000000000000001
2026-01-29 13:33:06.820031,T10060,,beverage,Мохито безалкогольный,196,64.68,1,131.32,0,0.6699999999999999
2026-01-29 15:32:06.820031,T10061,C-8777,sandwich,Сэндвич с лососем,390,156.0,1,234.0,1,0.6
2026-01-29 11:40:06.820031,T10062,C-4919,dessert,Брауни,396,138.6,1,257.4,1,0.6499999999999999
2026-01-29 15:15:06.820031,T10063,C-3267,dessert,Чизкейк,285,99.75,1,185.25,1,0.65
2026-01-29 15:45:06.820031,T10064,C-8633,bakery,Бейгл,88,26.4,1,61.6,1,0.7000000000000001
2026-01-29 17:24:06.820031,T10065,C-7232,snack,Салат Греческий,329,125.02,2,407.96000000000004,1,0.6200000000000001
2026-01-29 12:48:06.820031,T10066,,sandwich,Клаб-сэндвич,357,142.8,1,214.2,1,0.6
2026-01-29 11:31:06.820031,T10067,C-7624,coffee,Флэт Уайт,280,84.0,1,196.0,1,0.7
2026-01-29 13:08:06.820031,T10068,C-1444,beverage,Лимонад,188,62.04,1,125.96000000000001,0,0.67
2026-01-29 10:29:06.820031,T10069,C-8449,bakery,Печенье,86,25.8,1,60.2,1,0.7000000000000001
2026-01-29 17:17:06.820031,T10070,C-1317,snack,Салат Цезарь,287,109.06,1,177.94,0,0.62
2026-01-29 12:41:06.820031,T10071,C-5051,coffee,Латте,347,104.1,1,242.9,0,0.7000000000000001
2026-01-29 14:15:06.820031,T10072,C-4571,bakery,Бейгл,140,42.0,1,98.0,0,0.7
2026-01-29 16:10:06.820031,T10073,,beverage,Смузи,197,65.01,3,395.97,0,0.67
2026-01-29 09:01:06.820031,T10074,,dessert,Макарон,347,121.45,1,225.55,0,0.65
2026-01-29 10:37:06.820031,T10075,C-5941,tea,Зеленый чай,180,54.0,1,126.0,0,0.7
2026-01-29 13:02:06.820031,T10076,C-9289,dessert,Панна котта,336,117.6,1,218.4,1,0.65
2026-01-29 17:52:06.820031,T10077,C-8532,sandwich,Клаб-сэндвич,277,110.8,1,166.2,1,0.6
2026-01-29 16:41:06.820031,T10078,C-8921,dessert,Макарон,357,124.95,2,464.1,1,0.65
2026-01-29 16:17:06.820031,T10079,C-8385,dessert,Чизкейк,262,91.7,2,340.6,0,0.65
2026-01-29 13:42:06.820031,T10080,,sandwich,Клаб-сэндвич,336,134.4,1,201.6,1,0.6
2026-01-29 12:16:06.820031,T10081,,dessert,Брауни,271,94.85,2,352.3,1,0.65
2026-01-29 13:12:06.820031,T10082,C-4937,coffee,Флэт Уайт,242,72.6,1,169.4,1,0.7000000000000001
2026-01-29 15:28:06.820031,T10083,C-4986,snack,Кесадилья,184,69.92,1,114.08,0,0.62
2026-01-29 12:35:06.820031,T10084,,beverage,Айс-кофе,164,54.12,1,109.88,1,0.6699999999999999
2026-01-29 12:19:06.820031,T10085,C-2958,dessert,Панна котта,259,90.65,1,168.35,1,0.65
2026-01-29 16:11:06.820031,T10086,C-9595,bakery,Булочка с корицей,107,32.1,1,74.9,1,0.7000000000000001
2026-01-29 09:12:06.820031,T10087,C-9751,dessert,Чизкейк,258,90.3,1,167.7,1,0.6499999999999999
2026-01-29 19:35:06.820031,T10088,C-9042,dessert,Тирамису,378,132.3,2,491.4,0,0.65
2026-01-29 13:30:06.820031,T10089,,sandwich,Вегетарианский сэндвич,362,144.8,1,217.2,0,0.6
2026-01-29 13:52:06.820031,T10090,C-1878,coffee,Латте,283,84.9,1,198.1,1,0.7
2026-01-29 13:19:06.820031,T10091,,coffee,Раф,244,73.2,1,170.8,1,0.7000000000000001
2026-01-29 14:49:06.820031,T10092,C-8025,beverage,Айс-кофе,168,55.44,1,112.56,1,0.67
2026-01-29 09:47:06.820031,T10093,C-2330,coffee,Латте,234,70.2,1,163.8,1,0.7000000000000001
2026-01-29 13:10:06.820031,T10094,C-5771,coffee,Капучино,285,85.5,1,199.5,1,0.7
2026-01-29 15:44:06.820031,T10095,C-5334,snack,Суп-пюре,296,112.48,1,183.51999999999998,1,0.6199999999999999
2026-01-29 13:41:06.820031,T10096,C-3718,bakery,Печенье,114,34.2,2,159.6,1,0.7
2026-01-29 17:58:06.820031,T10097,C-7594,dessert,Брауни,312,109.2,1,202.8,1,0.65
2026-01-29 13:05:06.820031,T10098,,beverage,Какао,125,41.25,2,167.5,1,0.67
2026-01-29 09:43:06.820031,T10099,C-5415,snack,Салат Цезарь,327,124.26,1,202.74,0,0.62
2026-01-30 10:33:06.820031,T10100,C-8141,tea,Фруктовый чай,156,46.8,2,218.4,0,0.7000000000000001
2026-01-30 13:26:06.820031,T10101,,dessert,Брауни,282,98.7,1,183.3,1,0.65
2026-01-30 13:42:06.820031,T10102,C-6153,sandwich,Вегетарианский сэндвич,444,177.6,1,266.4,1,0.6
2026-01-30 19:25:06.820031,T10103,C-9889,snack,Салат Греческий,311,118.18,2,385.64,1,0.62
2026-01-30 10:23:06.820031,T10104,C-1845,beverage,Смузи,216,71.28,1,144.72,1,0.67
2026-01-30 10:18:06.820031,T10105,C-4920,sandwich,Клаб-сэндвич,428,171.2,1,256.8,1,0.6
2026-01-30 08:26:06.820031,T10106,,coffee,Эспрессо,238,71.4,3,499.79999999999995,0,0.7
2026-01-30 14:09:06.820031,T10107,,sandwich,Сэндвич с лососем,433,173.2,1,259.8,0,0.6
2026-01-30 19:15:06.820031,T10108,C-9327,sandwich,Клаб-сэндвич,391,156.4,1,234.6,0,0.6
2026-01-30 11:50:06.820031,T10109,,snack,Кесадилья,286,108.68,1,177.32,0,0.62
2026-01-30 11:19:06.820031,T10110,C-3434,snack,Салат Греческий,330,125.4,1,204.6,1,0.62
2026-01-30 12:35:06.820031,T10111,,snack,Суп-пюре,319,121.22,1,197.78,0,0.62
